"gas_day","region_code","gas_cons_mcm","rec_added"
2023-12-31,FR,120.49,2024-04-03 18:16:23.304 +0300
2023-12-31,AT,20.67,2024-01-11 18:10:09.696 +0300
2023-12-31,CZ,32.5800000,2024-01-02 03:00:30.000 +0300
2023-12-30,FR,113.56,2024-04-03 18:16:23.304 +0300
2023-12-30,AT,18.25,2024-01-10 18:10:10.367 +0300
2023-12-30,CZ,31.8380953,2024-01-01 03:00:26.000 +0300
2023-12-29,FR,117.26,2024-04-03 18:16:48.073 +0300
2023-12-29,AT,14.46,2024-01-09 18:10:10.785 +0300
2023-12-29,CZ,37.9290476,2023-12-31 03:00:31.000 +0300
2023-12-28,FR,121.51,2024-04-03 18:16:48.073 +0300
2023-12-28,AT,15.18,2024-01-08 18:10:09.671 +0300
2023-12-28,CZ,28.5009524,2023-12-30 03:00:38.000 +0300
2023-12-27,FR,126.55,2024-04-03 18:16:48.073 +0300
2023-12-27,AT,27.54,2024-01-07 18:10:09.269 +0300
2023-12-27,CZ,38.3866667,2023-12-29 03:00:22.000 +0300
2023-12-26,FR,122.53,2024-04-03 18:16:48.073 +0300
2023-12-26,AT,18.32,2024-01-06 18:10:09.950 +0300
2023-12-26,CZ,36.8290477,2023-12-28 03:00:26.000 +0300
2023-12-25,FR,110.32,2024-04-03 18:16:48.073 +0300
2023-12-25,AT,15.96,2024-01-05 18:10:10.153 +0300
2023-12-25,CZ,38.3114286,2023-12-27 03:00:29.000 +0300
2023-12-24,FR,108.62,2024-04-03 18:16:48.073 +0300
2023-12-24,AT,18.29,2024-01-04 18:10:09.604 +0300
2023-12-24,CZ,40.0000000,2023-12-26 03:00:31.000 +0300
2023-12-23,FR,115.38,2024-04-02 18:16:13.391 +0300
2023-12-23,AT,21.40,2024-01-03 18:10:07.904 +0300
2023-12-23,CZ,39.5228571,2023-12-25 03:00:49.000 +0300
2023-12-22,FR,128.43,2024-04-01 18:16:16.765 +0300
2023-12-22,AT,28.86,2024-01-02 18:10:10.349 +0300
2023-12-22,CZ,42.3566667,2023-12-24 03:00:47.000 +0300
2023-12-21,FR,139.39,2024-03-31 18:16:43.508 +0300
2023-12-21,AT,19.84,2024-01-01 18:10:10.254 +0300
2023-12-21,CZ,42.410000,2023-12-23 03:00:52.000 +0300
2023-12-20,FR,158.36,2024-03-30 18:16:18.586 +0300
2023-12-20,AT,24.17,2023-12-31 18:10:10.087 +0300
2023-12-20,CZ,43.9490476,2023-12-22 03:00:38.000 +0300
2023-12-19,FR,176.81,2024-03-28 18:16:27.906 +0300
2023-12-19,AT,24.15,2023-12-30 18:10:11.758 +0300
2023-12-19,CZ,44.6914286,2023-12-21 03:01:09.000 +0300
2023-12-18,FR,196.55,2024-03-28 18:16:27.906 +0300
2023-12-18,AT,31.14,2023-12-29 18:10:09.954 +0300
2023-12-18,CZ,43.6233333,2023-12-20 03:00:53.000 +0300
2023-12-17,FR,161.99,2024-03-25 18:16:13.255 +0300
2023-12-17,AT,24.48,2023-12-28 18:10:10.005 +0300
2023-12-17,CZ,42.1133333,2023-12-19 03:00:41.000 +0300
2023-12-16,FR,147.94,2024-03-25 18:16:13.255 +0300
2023-12-16,AT,24.14,2023-12-27 18:10:09.353 +0300
2023-12-16,CZ,43.3457143,2023-12-18 07:23:32.000 +0300
2023-12-15,FR,162.18,2024-03-25 18:16:13.255 +0300
