"date_actual","region_name","date_forecast","day_avg_temp","is_fact","doc_date"
2023-12-31,Австрия,,0.00,true,2024-01-01
2023-12-31,Германия,,5.00,true,2024-01-01
2023-12-31,Франция,,9.00,true,2024-01-01
2023-12-31,Австрия,2023-12-31,1.00,false,2023-12-31
2023-12-31,Германия,2023-12-31,5.00,false,2023-12-31
2023-12-31,Франция,2023-12-31,8.00,false,2023-12-31
2023-12-31,Австрия,2023-12-30,1.00,false,2023-12-30
2023-12-31,Германия,2023-12-30,5.00,false,2023-12-30
2023-12-31,Франция,2023-12-30,8.00,false,2023-12-30
2023-12-31,Австрия,2023-12-29,1.00,false,2023-12-29
2023-12-31,Германия,2023-12-29,5.00,false,2023-12-29
2023-12-31,Франция,2023-12-29,8.00,false,2023-12-29
2023-12-31,Австрия,2023-12-28,2.00,false,2023-12-28
2023-12-31,Германия,2023-12-28,5.00,false,2023-12-28
2023-12-31,Франция,2023-12-28,8.00,false,2023-12-28
2023-12-31,Австрия,2023-12-27,3.00,false,2023-12-27
2023-12-31,Германия,2023-12-27,5.00,false,2023-12-27
2023-12-31,Франция,2023-12-27,8.00,false,2023-12-27
2023-12-31,Австрия,2023-12-26,2.00,false,2023-12-26
2023-12-31,Германия,2023-12-26,3.00,false,2023-12-26
2023-12-31,Франция,2023-12-26,6.00,false,2023-12-26
2023-12-31,Австрия,2023-12-25,2.00,false,2023-12-25
2023-12-31,Германия,2023-12-25,2.00,false,2023-12-25
2023-12-31,Франция,2023-12-25,6.00,false,2023-12-25
2023-12-30,Австрия,,4.00,true,2023-12-31
2023-12-30,Германия,,7.00,true,2023-12-31
2023-12-30,Франция,,8.00,true,2023-12-31
2023-12-30,Австрия,2023-12-30,4.00,false,2023-12-30
2023-12-30,Германия,2023-12-30,6.00,false,2023-12-30
2023-12-30,Франция,2023-12-30,8.00,false,2023-12-30
2023-12-30,Австрия,2023-12-29,3.00,false,2023-12-29
2023-12-30,Германия,2023-12-29,6.00,false,2023-12-29
2023-12-30,Франция,2023-12-29,8.00,false,2023-12-29
2023-12-30,Австрия,2023-12-28,4.00,false,2023-12-28
2023-12-30,Германия,2023-12-28,7.00,false,2023-12-28
2023-12-30,Франция,2023-12-28,8.00,false,2023-12-28
2023-12-30,Австрия,2023-12-27,3.00,false,2023-12-27
2023-12-30,Германия,2023-12-27,6.00,false,2023-12-27
2023-12-30,Франция,2023-12-27,8.00,false,2023-12-27
2023-12-30,Австрия,2023-12-26,2.00,false,2023-12-26
2023-12-30,Германия,2023-12-26,6.00,false,2023-12-26
2023-12-30,Франция,2023-12-26,7.00,false,2023-12-26
2023-12-30,Австрия,2023-12-25,3.00,false,2023-12-25
2023-12-30,Германия,2023-12-25,6.00,false,2023-12-25
2023-12-30,Франция,2023-12-25,8.00,false,2023-12-25
2023-12-30,Австрия,2023-12-24,3.00,false,2023-12-24
2023-12-30,Германия,2023-12-24,5.00,false,2023-12-24
2023-12-30,Франция,2023-12-24,8.00,false,2023-12-24
2023-12-29,Австрия,,3.00,true,2023-12-30
2023-12-29,Германия,,8.00,true,2023-12-30
2023-12-29,Франция,,9.00,true,2023-12-30
2023-12-29,Австрия,2023-12-29,3.00,false,2023-12-29
2023-12-29,Германия,2023-12-29,7.00,false,2023-12-29
2023-12-29,Франция,2023-12-29,9.00,false,2023-12-29
2023-12-29,Австрия,2023-12-28,3.00,false,2023-12-28
2023-12-29,Германия,2023-12-28,8.00,false,2023-12-28
2023-12-29,Франция,2023-12-28,9.00,false,2023-12-28
2023-12-29,Австрия,2023-12-27,3.00,false,2023-12-27
2023-12-29,Германия,2023-12-27,8.00,false,2023-12-27
2023-12-29,Франция,2023-12-27,9.00,false,2023-12-27
2023-12-29,Австрия,2023-12-26,3.00,false,2023-12-26
2023-12-29,Германия,2023-12-26,8.00,false,2023-12-26
2023-12-29,Франция,2023-12-26,9.00,false,2023-12-26
2023-12-29,Австрия,2023-12-25,4.00,false,2023-12-25
2023-12-29,Германия,2023-12-25,7.00,false,2023-12-25
2023-12-29,Франция,2023-12-25,9.00,false,2023-12-25
2023-12-29,Австрия,2023-12-24,3.00,false,2023-12-24
2023-12-29,Германия,2023-12-24,6.00,false,2023-12-24
2023-12-29,Франция,2023-12-24,8.00,false,2023-12-24
2023-12-29,Австрия,2023-12-23,3.00,false,2023-12-23
2023-12-29,Германия,2023-12-23,5.00,false,2023-12-23
2023-12-29,Франция,2023-12-23,8.00,false,2023-12-23
2023-12-28,Австрия,,1.00,true,2023-12-29
2023-12-28,Германия,,6.00,true,2023-12-29
2023-12-28,Франция,,9.00,true,2023-12-29
2023-12-28,Австрия,2023-12-28,3.00,false,2023-12-28
2023-12-28,Германия,2023-12-28,6.00,false,2023-12-28
2023-12-28,Франция,2023-12-28,8.00,false,2023-12-28
2023-12-28,Австрия,2023-12-27,2.00,false,2023-12-27
2023-12-28,Германия,2023-12-27,6.00,false,2023-12-27
2023-12-28,Франция,2023-12-27,9.00,false,2023-12-27
2023-12-28,Австрия,2023-12-26,3.00,false,2023-12-26
2023-12-28,Германия,2023-12-26,6.00,false,2023-12-26
2023-12-28,Франция,2023-12-26,9.00,false,2023-12-26
2023-12-28,Австрия,2023-12-25,3.00,false,2023-12-25
2023-12-28,Германия,2023-12-25,7.00,false,2023-12-25
2023-12-28,Франция,2023-12-25,9.00,false,2023-12-25
2023-12-28,Австрия,2023-12-24,3.00,false,2023-12-24
2023-12-28,Германия,2023-12-24,7.00,false,2023-12-24
2023-12-28,Франция,2023-12-24,9.00,false,2023-12-24
2023-12-28,Австрия,2023-12-23,3.00,false,2023-12-23
2023-12-28,Германия,2023-12-23,7.00,false,2023-12-23
2023-12-28,Франция,2023-12-23,9.00,false,2023-12-23
2023-12-28,Австрия,2023-12-22,4.00,false,2023-12-22
2023-12-28,Германия,2023-12-22,6.00,false,2023-12-22
2023-12-28,Франция,2023-12-22,9.00,false,2023-12-22
2023-12-27,Австрия,,4.00,true,2023-12-28
2023-12-27,Германия,,4.00,true,2023-12-28
2023-12-27,Франция,,7.00,true,2023-12-28
2023-12-27,Австрия,2023-12-27,3.00,false,2023-12-27
2023-12-27,Германия,2023-12-27,4.00,false,2023-12-27
2023-12-27,Франция,2023-12-27,7.00,false,2023-12-27
2023-12-27,Австрия,2023-12-26,3.00,false,2023-12-26
2023-12-27,Германия,2023-12-26,4.00,false,2023-12-26
2023-12-27,Франция,2023-12-26,7.00,false,2023-12-26
2023-12-27,Австрия,2023-12-25,3.00,false,2023-12-25
2023-12-27,Германия,2023-12-25,5.00,false,2023-12-25
2023-12-27,Франция,2023-12-25,7.00,false,2023-12-25
2023-12-27,Австрия,2023-12-24,4.00,false,2023-12-24
2023-12-27,Германия,2023-12-24,5.00,false,2023-12-24
2023-12-27,Франция,2023-12-24,7.00,false,2023-12-24
2023-12-27,Австрия,2023-12-23,3.00,false,2023-12-23
2023-12-27,Германия,2023-12-23,5.00,false,2023-12-23
2023-12-27,Франция,2023-12-23,8.00,false,2023-12-23
2023-12-27,Австрия,2023-12-22,4.00,false,2023-12-22
2023-12-27,Германия,2023-12-22,5.00,false,2023-12-22
